547,3653,0.0
461,1479,0.0
159,800,0.0
547,1190,0.0
587,3089,0.0
468,57972,0.0
509,1185,0.0
475,93838,0.0
195,3751,0.0
664,8784,0.0
192,48,0.0
346,3997,0.0
344,1258,0.0
78,3755,0.0
274,1199,0.0
547,32234,0.0
624,55995,0.0
215,6,0.0
385,272,0.0
481,1997,0.0
598,3081,0.0
402,4718,0.0
242,1370,0.0
452,3552,0.0
509,34,0.0
196,3115,0.0
457,2746,0.0
463,2407,0.0
119,3735,0.0
56,1954,0.0
262,1387,0.0
590,736,0.0
468,497,0.0
245,2427,0.0
272,99112,0.0
42,356,0.0
48,60126,0.0
19,1124,0.0
580,4036,0.0
664,116797,0.0
605,1953,0.0
243,6534,0.0
580,2862,0.0
306,1265,0.0
480,44511,0.0
590,370,0.0
628,68237,0.0
30,2,0.0
134,329,0.0
580,5489,0.0
212,2642,0.0
461,3968,0.0
547,106452,0.0
73,198,0.0
388,39,0.0
624,93326,0.0
551,253,0.0
585,50,1.0
584,74458,1.0
28,1094,0.0
353,4735,0.0
384,836,0.0
493,1835,0.0
175,1479,0.0
461,1997,0.0
529,7156,0.0
288,292,0.0
363,480,0.0
396,158,0.0
20,720,1.0
111,3421,0.0
232,282,0.0
442,2700,0.0
242,2321,0.0
665,2316,0.0
53,3274,0.0
38,5952,0.0
427,5505,0.0
324,68099,0.0
243,1590,0.0
88,1246,1.0
542,329,0.0
165,2710,0.0
311,6856,0.0
606,62336,0.0
457,3968,0.0
294,236,0.0
81,5269,0.0
23,3504,0.0
30,2782,0.0
386,4501,0.0
577,6373,0.0
603,1240,1.0
33,1983,0.0
388,2706,0.0
522,1917,0.0
574,3948,0.0
631,1488,0.0
212,2490,0.0
187,2096,0.0
638,2094,0.0
580,866,0.0
118,3147,0.0
382,59501,0.0
128,5957,1.0
475,86332,0.0
656,3578,1.0
388,30749,0.0
624,6993,0.0
163,73290,0.0
103,1129,0.0
500,6565,0.0
545,125,0.0
73,1339,0.0
172,457,0.0
59,4306,0.0
518,2141,0.0
553,102445,1.0
420,1278,0.0
15,1862,0.0
247,2640,0.0
248,2346,0.0
626,1911,0.0
88,357,1.0
427,4236,0.0
